season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,result_status_text,damage_crash_proxy,penalty_text_proxy,track_status,under_safety_car,under_yellow_flag,under_red_flag,under_any_non_green,race_has_safety_car,race_safety_car_lap_share,race_has_yellow_flag,race_has_red_flag,race_q95_stop,very_short_stop_proxy,abnormal_long_stop_proxy,penalty_duration_proxy,penalty_proxy,point_type,constructor_n,circuit_n,pred_simple,pred_adjusted,residual_simple,residual_adjusted
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,leclerc,2,1,21.323,ferrari,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,259,60,23.43702977125106,23.04518153135236,-2.114029771251058,-1.7221815313523585
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,leclerc,3,2,22.587,ferrari,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,259,60,23.43702977125106,23.19888081447652,-0.8500297712510587,-0.6118808144765211
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,leclerc,25,3,27.082,ferrari,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,259,60,23.43702977125106,23.727595214687568,3.6449702287489423,3.3544047853124326
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,maxverstappen,2,1,22.718,red_bull,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,292,60,23.35989949294445,22.755298499632637,-0.6418994929444501,-0.037298499632637316
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,maxverstappen,3,2,22.104,red_bull,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,292,60,23.35989949294445,22.9089977827568,-1.255899492944451,-0.8049977827568
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,maxverstappen,35,3,26.743,red_bull,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,292,60,23.35989949294445,23.459071054768184,3.3831005070555484,3.283928945231814
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,maxverstappen,64,4,26.319,red_bull,Finished,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,292,60,23.35989949294445,25.005672792941013,2.959100507055549,1.313327207058986
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mazepin,2,1,21.372,haas,+2 Laps,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,272,60,24.8074441540668,24.268470427982876,-3.4354441540668006,-2.8964704279828766
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mazepin,3,2,21.404,haas,+2 Laps,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,272,60,24.8074441540668,24.42216971110704,-3.4034441540668006,-3.0181697111070385
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mazepin,31,3,27.186,haas,+2 Laps,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,272,60,24.8074441540668,24.96369943439829,2.3785558459331995,2.22230056560171
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mazepin,43,4,26.984,haas,+2 Laps,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,272,60,24.8074441540668,26.473991090510538,2.1765558459332013,0.5100089094894642
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mickschumacher,2,1,22.019,haas,+2 Laps,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,272,60,24.8074441540668,24.268470427982876,-2.788444154066802,-2.249470427982878
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mickschumacher,3,2,21.454,haas,+2 Laps,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,272,60,24.8074441540668,24.42216971110704,-3.3534441540668,-2.9681697111070378
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,mickschumacher,32,3,27.245,haas,+2 Laps,0,0,unknown,0,0,0,0,0,0,0,0,27.0872,0,1,0,0,Abnormal long stop,272,60,24.8074441540668,24.96583532157832,2.4375558459332005,2.2791646784216795
