season,round,race_name,circuit,driver_join_id,pit_lap,stop_number,pit_stop_time_s,constructor,under_safety_car,race_has_safety_car,race_safety_car_lap_share,race_q95_stop,abnormal_stop_proxy,very_short_stop_proxy,constructor_n,circuit_n,pred_simple,pred_adjusted,residual_simple,residual_adjusted
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,perez,2,1,21.89,red_bull,0,0,0,27.0872,1,0,292,60,23.35989949294445,22.746087782398334,-1.4698994929444495,-0.8560877823983333
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,perez,3,2,22.1,red_bull,0,0,0,27.0872,1,0,292,60,23.35989949294445,22.92058237506575,-1.2598994929444487,-0.8205823750657473
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,perez,51,3,26.607,red_bull,0,0,0,27.0872,1,0,292,60,23.35989949294445,23.39971589684368,3.247100507055549,3.2072841031563186
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,ricciardo,2,1,21.965,mclaren,0,0,0,27.0872,1,0,270,60,23.410625150660657,23.166781930566245,-1.445625150660657,-1.201781930566245
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,ricciardo,3,2,22.355,mclaren,0,0,0,27.0872,1,0,270,60,23.410625150660657,23.34127652323366,-1.0556251506606564,-0.9862765232336592
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,ricciardo,41,3,28.639,mclaren,0,0,0,27.0872,1,0,270,60,23.410625150660657,23.81420504744511,5.2283748493393425,4.824794952554889
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,russell,2,1,23.532,williams,0,0,0,27.0872,1,0,271,60,24.658894422135152,23.69709927671666,-1.1268944221351518,-0.16509927671665992
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,russell,3,2,22.755,williams,0,0,0,27.0872,1,0,271,60,24.658894422135152,23.871593869384075,-1.9038944221351528,-1.1165938693840758
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,russell,28,3,26.843,williams,0,0,0,27.0872,1,0,271,60,24.658894422135152,24.3364558967591,2.184105577864848,2.5065441032408984
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,sainz,2,1,22.029,ferrari,0,0,0,27.0872,1,0,259,60,23.43702977125106,23.06774964512396,-1.4080297712510585,-1.0387496451239606
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,sainz,3,2,22.244,ferrari,0,0,0,27.0872,1,0,259,60,23.43702977125106,23.242244237791375,-1.1930297712510587,-0.9982442377913756
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,sainz,21,3,25.892,ferrari,0,0,0,27.0872,1,0,259,60,23.43702977125106,23.702762766869863,2.454970228748941,2.189237233130136
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,stroll,2,1,22.264,aston_martin,0,0,0,27.0872,1,0,271,60,23.624925561269905,23.427934877228086,-1.3609255612699052,-1.1639348772280869
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,stroll,3,2,22.176,aston_martin,0,0,0,27.0872,1,0,271,60,23.624925561269905,23.6024294698955,-1.4489255612699061,-1.4264294698955027
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,stroll,39,3,26.027,aston_martin,0,0,0,27.0872,1,0,271,60,23.624925561269905,24.074116994593656,2.4020744387300965,1.9528830054063455
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,tsunoda,2,1,22.266,alphatauri,0,0,0,27.0872,1,0,202,60,23.147245820800602,23.20252978917797,-0.8812458208006042,-0.9365297891779711
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,tsunoda,3,2,22.542,alphatauri,0,0,0,27.0872,1,0,202,60,23.147245820800602,23.377024381845384,-0.6052458208006009,-0.8350243818453826
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,tsunoda,21,3,26.202,alphatauri,0,0,0,27.0872,1,0,202,60,23.147245820800602,23.837542910923872,3.0547541791993993,2.3644570890761294
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,vettel,2,1,21.398,aston_martin,0,0,0,27.0872,1,0,271,60,23.624925561269905,23.427934877228086,-2.226925561269905,-2.0299348772280865
2021,3,Portuguese Grand Prix,Autódromo Internacional do Algarve,vettel,3,2,21.75,aston_martin,0,0,0,27.0872,1,0,271,60,23.624925561269905,23.6024294698955,-1.8749255612699045,-1.852429469895501
